image_id,conflict_type,image_file,conflict_question,conflict_answer,clean_question,clean_answer,key_component,key_component_relationships,key_component_attributes,conflict_is_real,conflict_answer_correct,clean_answer_correct,image_quality_ok,template_leakage,issue_type,notes,annotator,audit_date
2393956,relation,annotations/exp001_audit_images/02393956.png,What is in the foreground?,The image does not contain any elements in the foreground.,What is in the background?,Trees.,the background,"[""the"", ""background""]",,,,,,,,,,
2394830,relation,annotations/exp001_audit_images/02394830.png,What color is the sky?,The image does not contain any depiction of the sky.,What color is the grass?,Green.,"color, grass","[""grass""]",,,,,,,,,,
2395335,relation,annotations/exp001_audit_images/02395335.png,What is inside the helmet?,The image does not contain anything inside the helmet.,What is around the helmet?,A gray band.,around the helmet,"[""around""]",,,,,,,,,,
2396337,relation,annotations/exp001_audit_images/02396337.png,What is the logo above the boy's shirt?,The logo above the boy's shirt is not visible in the image.,What is the logo on the boy's shirt?,A soccer ball.,the logo on the boy's shirt,"[""ON""]",,,,,,,,,,
2397146,relation,annotations/exp001_audit_images/02397146.png,What is growing inside of the shed?,The image does not show anything growing inside of the shed.,What is growing outside of the shed?,Weeds.,growing outside of the shed,"[""of"", ""outside of""]",,,,,,,,,,
2397187,relation,annotations/exp001_audit_images/02397187.png,What time is the picture taken?,The image does not provide information about the time it was taken.,Where is the picture taken?,A living room.,the picture,"[""the"", ""picture""]",,,,,,,,,,
2397548,relation,annotations/exp001_audit_images/02397548.png,What could be said about the motorcycle rider behind?,The image does not contain a motorcycle rider behind.,What could be said about the motorcycle rider in front?,He's winning.,motorcycle rider in front,"[""in""]",,,,,,,,,,
2398355,relation,annotations/exp001_audit_images/02398355.png,Question: What event led to this happening?,The image does not depict an event or a specific occurrence.,Where was this taken?,Living room.,this,"[""this""]",,,,,,,,,,
2398621,relation,annotations/exp001_audit_images/02398621.png,What is hidden?,The image does not contain anything that is hidden.,What is illuminated?,Building.,What is illuminated,"[""in""]",,,,,,,,,,
2398755,relation,annotations/exp001_audit_images/02398755.png,Who is absent?,The image does not contain anyone who is present.,Who is present?,Nobody.,is present,"[""ON""]",,,,,,,,,,
2398824,relation,annotations/exp001_audit_images/02398824.png,What reflecting in the snow?,"The image does not contain the phrase ""What reflecting in the snow?"".",What reflecting on the snow?,The sunlight.,reflecting on the snow,"[""on""]",,,,,,,,,,
2398946,relation,annotations/exp001_audit_images/02398946.png,What is the biggest shadow in the water from?,"The image does not contain any information about ""the biggest shadow in the water.""",What is the biggest shadow on the water from?,Umbrella.,the biggest shadow on the water,"[""on""]",,,,,,,,,,
2399504,relation,annotations/exp001_audit_images/02399504.png,What is sitting next to the chair?,The image does not contain anything sitting next to the chair.,What is sitting in the chair?,Stuffed lamb.,sitting in the chair,"[""in"", ""ON""]",,,,,,,,,,
2399513,relation,annotations/exp001_audit_images/02399513.png,What type of doughnut is used in this recipe?,The image does not contain a specific recipe for a doughnut.,What type of doughnut is shown?,Glazed.,type of doughnut,"[""of""]",,,,,,,,,,
2399942,relation,annotations/exp001_audit_images/02399942.png,What would have happened if this event had occurred in a different location?,The image does not contain any information about a specific event.,Where was this picture taken?,A dock.,this picture,"[""this"", ""picture""]",,,,,,,,,,
2400294,relation,annotations/exp001_audit_images/02400294.png,What is on top of the engine?,The image does not depict anything that is specifically on top of the engine.,What is on the front of the engine?,Boiler.,the front of the engine,"[""front of""]",,,,,,,,,,
2400606,relation,annotations/exp001_audit_images/02400606.png,What is the purpose of the ruck?,The image does not contain information about the purpose of the ruck.,What is covering the ruck?,Rust.,covering the ruck,"[""covering"", ""of""]",,,,,,,,,,
2400938,relation,annotations/exp001_audit_images/02400938.png,What is the dog looking out of?,The image does not contain a dog.,What is the cat looking out of?,Window.,the cat,"[""cat""]",,,,,,,,,,
2401416,relation,annotations/exp001_audit_images/02401416.png,What is peanut butter and jelly?,1. The image does not contain anything related to peanut butter and jelly.,What is black and tan?,Suitcase.,black and tan,"[""black"", ""tan""]",,,,,,,,,,
2403398,relation,annotations/exp001_audit_images/02403398.png,What is behind the sign?,1. The image does not show what is behind the sign.,What is in front of sign?,One cow.,front of sign,"[""standing in front of""]",,,,,,,,,,
2403851,relation,annotations/exp001_audit_images/02403851.png,What type of animals are not in the picture?,The image does not contain any animals other than cows.,What type of animals are in the picture?,A group of cows.,type of animals,"[""of""]",,,,,,,,,,
2404745,relation,annotations/exp001_audit_images/02404745.png,Why is the cat sitting on the chair?,The image does not show the cat sitting on the chair.,Why is the cat wearing a bow tie?,To take a picture.,the cat wearing a bow tie,"[""wearing""]",,,,,,,,,,
2404880,relation,annotations/exp001_audit_images/02404880.png,What is the person in front doing?,The image does not contain a person in front.,What is the person to the left doing?,Batting.,the person to the left,"[""left""]",,,,,,,,,,
2405931,relation,annotations/exp001_audit_images/02405931.png,Who is under a blue parasol?,"The image does not contain anyone ""under a blue parasol.""",Who is holding a blue parasol?,Young woman.,holding a blue parasol,"[""holding""]",,,,,,,,,,
2406182,relation,annotations/exp001_audit_images/02406182.png,What is the murky water covered by?,The image does not contain any information about what the murky water is covered by.,What is the murky water surrounded by?,Trees.,murky water,"[""down""]",,,,,,,,,,
2406458,relation,annotations/exp001_audit_images/02406458.png,What is wrapped around the boy's waist?,"The image does not contain anything that is simply ""wrapped"" around the boy's waist.",What is tied around the boy's waist?,Sweater.,tied around the boy's waist,"[""tied around"", ""around""]",,,,,,,,,,
2409203,relation,annotations/exp001_audit_images/02409203.png,What are the shelves next to the sink made of?,The image does not contain shelves next to the sink.,What are the shelves above the sink made of?,Glass.,the shelves above the sink,"[""above""]",,,,,,,,,,
2409614,relation,annotations/exp001_audit_images/02409614.png,Why are items under a bed?,The image does not contain items under a bed.,Why are items on a bed?,They are about to be packed.,items on a bed,"[""ON""]",,,,,,,,,,
2409661,relation,annotations/exp001_audit_images/02409661.png,How many slices of bacon are for the sandwich?,The image does not contain information about how many slices of bacon are for the sandwich.,How many slices of bacon are on the plate?,Two.,"slices of bacon, the plate","[""of""]",,,,,,,,,,
2410888,relation,annotations/exp001_audit_images/02410888.png,What is a person called who trains one of these animals professionally?,The image does not contain a person who trains animals.,What is a person called who rides one of these animals professionally?,Jockey.,a person who rides one of these animals professionally,"[""of"", ""of""]",,,,,,,,,,
2410942,relation,annotations/exp001_audit_images/02410942.png,What is the black part for the computer?,The image does not contain any information about the function or purpose of the black part of the computer.,What is the black part of the computer?,The screen.,the black part of the computer,"[""of""]",,,,,,,,,,
2410993,relation,annotations/exp001_audit_images/02410993.png,What is the player standing on?,The image does not show what the player is standing on.,What is the player holding?,A baseball bat.,the player holding,"[""holding"", ""on""]",,,,,,,,,,
2411181,relation,annotations/exp001_audit_images/02411181.png,What color is her dress?,The image does not contain a dress.,What color is her top?,Red with gray.,"color, top","[""top""]",,,,,,,,,,
2413948,relation,annotations/exp001_audit_images/02413948.png,What is the man carrying?,The image does not show a man carrying anything.,What is the man riding?,A bicycle.,the man riding,"[""riding""]",,,,,,,,,,
