image_id,condition,conflict_type,question,reference_answer,generated_text,automatic_stance,manual_review_required,ai_semantic_correct,ai_stance,ai_confidence,ai_notes,ai_reviewer,protocol,human_confirmation,human_correction_semantic,human_correction_stance,human_notes
2408970,text_only_conflict,object,How did it get broken?,The image does not contain any information about something being broken.,"I'm sorry, but I don't have any information about what you're referring to as ""it."" Could you please provide more context or clarify your question?",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2405342,text_only_conflict,object,How many bicycles are on the road?,The image does not contain any bicycles.,"I'm sorry, but as an AI language model, I don't have access to real-time data or the ability to physically observe objects in the world. To",no_explicit_rejection,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2396109,text_only_conflict,object,Where is the fern?,The image does not contain a fern.,"I'm sorry, I don't know where it is. I can't help you with this.",no_explicit_rejection,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2396984,text_only_conflict,object,What shade of color is the letter P?,The image does not contain the letter P.,"The letter ""P"" in this image appears to be a shade of blue.",no_explicit_rejection,True,n/a,answer_premise,medium,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为answer_premise。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2403851,text_only_conflict,relation,What type of animals are not in the picture?,The image does not contain any animals other than cows.,"I'm sorry, but I cannot answer your question as there is no picture attached to your message. Please provide me with a picture so that I can assist you",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2406390,text_only_conflict,object,Where is the fox?,The image does not contain a fox.,"I'm sorry, I don't know where the fox is. I can't help you with this.",no_explicit_rejection,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2395947,text_only_conflict,object,Where is the painting taken?,The image does not contain a painting.,"I'm sorry, but I cannot answer your question as there is no painting mentioned in your message. Could you please provide more information or context so that I can",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2401084,text_only_conflict,object,What time was this?,The image does not contain any information about a specific time.,"I'm sorry, but I don't have any information about the specific time you're referring to. Could you please provide more context or clarify your question?",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2410068,text_only_conflict,object,What is in the right corner?,The image does not contain anything in the right corner.,"I'm sorry, but I don't have any information about what is in the right corner of where you are asking this question. Could you please provide more context",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2403489,text_only_conflict,object,What is the mountain?,The image does not contain a mountain.,"I'm sorry, but I don't have enough context to determine what mountain you are referring to. Could you please provide more information or context about the mountain you",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2405568,text_only_conflict,object,What is in the box?,The image does not contain a box.,"I'm sorry, but I cannot answer this question as there is no information provided about what is inside the box. Could you please provide more context or details about",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2410888,text_only_conflict,relation,What is a person called who trains one of these animals professionally?,The image does not contain a person who trains animals.,A person who trains dogs professionally is called a dog trainer or a dog behaviorist.,no_explicit_rejection,True,n/a,answer_premise,medium,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为answer_premise。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2410268,text_only_conflict,object,What color is the water?,The image does not contain any water.,"I'm sorry, but I don't have any information about the color of the water you're referring to. Could you please provide more context or specify which body",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2408152,text_only_conflict,object,What color are the balloons?,The image does not contain any balloons.,"I'm sorry, but I cannot answer your question as there is no information provided about the color of the balloons. Could you please provide more context or details about",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2407206,text_only_conflict,object,What color is the skateboard?,The image does not contain a skateboard.,"I'm sorry, but I don't have any information about the color of the skateboard you're referring to. Could you please provide more context or clarify your question",abstain_no_visual_input,True,n/a,abstain,high,仅记录无图条件的语言立场，不评价视觉语义正确率；该输出归为abstain。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2395592,multimodal_clean,object,Where is the letter O?,On the building.,"The letter ""O"" is on the sign that reads ""CADOGAN HALL.""",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2395656,multimodal_clean,object,What is on the wheels?,Skis.,"The wheels of the airplane in the picture are equipped with skis, which are designed to allow the plane to land and take off on snow or ice surfaces.",not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2404880,multimodal_clean,relation,What is the person to the left doing?,Batting.,"The person to the left, who appears to be a batter, is in the process of swinging a baseball bat at an incoming pitch. He is wearing a red",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
150293,multimodal_clean,object,How many engines can be seen?,2.,"The aircraft in the picture has two visible engines. One engine is located on the left wing, and the other is on the right wing.",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2399942,multimodal_clean,relation,Where was this picture taken?,A dock.,"I am not sure where this picture was taken. It could be at the beach, on the road, or in a parking lot.",not_applicable,True,no,n/a,high,未回答dock，列举beach/road/parking多个互斥地点。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2408623,multimodal_clean,object,Where is the umbrella?,On a sidewalk.,"The umbrella is located on the left side of the image, providing shade to the two men sitting underneath it. It appears to be a large, open umbrella with",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2394830,multimodal_clean,relation,What color is the grass?,Green.,The grass in the picture is green.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2399944,multimodal_clean,object,What is the paper on?,The table.,The paper is on a table or desk.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2406642,multimodal_clean,object,What are the sheep eating?,Grass.,The sheep in the picture are grazing on the grass in the field.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2409203,multimodal_clean,relation,What are the shelves above the sink made of?,Glass.,The shelves above the sink are made of glass.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2405435,multimodal_clean,attribute,What color is the chair?,Brown.,The chair is brown.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
1592318,multimodal_clean,object,Where is this scene taken?,Near the stagecoach bus.,"This scene appears to be taken in Carlisle, as indicated by the destination sign on the bus. The bus is a Stagecoach service, and the route number",not_applicable,True,uncertain,n/a,low,回答Carlisle而参考为near the Stagecoach bus，粒度不同，需人工决定是否接受。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2402123,multimodal_clean,attribute,What is the street made of?,Bricks.,The street in the picture appears to be made of red bricks.,not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2393956,multimodal_clean,relation,What is in the background?,Trees.,"In the background, there is dense foliage and greenery, which suggests that the scene is set in a forest or wooded area. The bear appears to be walking",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2406916,multimodal_clean,object,What is woman in?,Skirt.,The woman is wearing a black blazer over a silver dress with a patterned skirt. She also has on a pearl necklace and beige high heels.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2403720,multimodal_clean,object,Where is the woman standing?,Ocean.,The woman is standing on a surfboard in the water.,not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2396016,multimodal_clean,attribute,What has a long trailer?,Truck.,The truck in the picture has a long trailer.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
713590,multimodal_clean,object,Where does this scene take place?,In a living room.,"This scene appears to be set in a living room or a similar indoor space. The presence of a television, a fireplace, and comfortable seating suggests it is designed",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2401850,multimodal_clean,object,What are the spires?,On the castle.,"The spires in the image are part of a Gothic-style clock tower. Gothic architecture is characterized by pointed arches, ribbed vaults, and flying butt",not_applicable,True,yes,n/a,medium,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2401710,multimodal_clean,object,How many people are pictured?,Just 1.,There is one person pictured in the image.,not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2411972,multimodal_clean,object,What type of food is pictured?,French fries.,"The picture shows a sandwich with bacon, lettuce, and what appears to be a fried item, possibly French fries or a similar crinkle-cut fry. The sandwich",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2403954,multimodal_clean,object,What's the shape of the plate?,Rectangular.,The plate is square-shaped.,not_applicable,True,no,n/a,high,回答square-shaped，与参考rectangular及图中长方形餐盘不一致。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2405672,multimodal_clean,object,What is in the background?,Fence.,"The background appears to be a gray wall or fence, which is typical for an outdoor tennis court.",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2393697,multimodal_clean,object,Who is looking at the woman?,The people sitting down.,"It is ambiguous who is looking at the woman. It can be seen that some people are looking at her, while others are not.",not_applicable,True,yes,n/a,medium,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2403767,multimodal_clean,object,What length is the woman's hair?,Long.,The woman in the picture has short hair.,not_applicable,True,no,n/a,high,回答short hair，与参考long直接矛盾。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2406901,multimodal_clean,object,Where is racket?,On leg.,The tennis racket is on the ground next to the player's feet.,not_applicable,True,no,n/a,high,回答racket在脚边地面，与参考on leg不一致。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2396910,multimodal_clean,attribute,What are the white items on the wall?,Urinals.,The white items on the wall are urinals.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2401906,multimodal_clean,attribute,What color is the text on the blue sticker?,White.,The text on the blue sticker is white.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2402736,multimodal_clean,object,What is the train sitting on?,Tracks.,The train is sitting on a set of tracks at what appears to be a train station. The tracks are made of metal and are supported by wooden ties. The,not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2402704,multimodal_clean,attribute,What is black and round?,Small table.,The black object in the image appears to be a coffee table. It has a round shape and is placed on the floor next to the red armchair.,not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2402350,multimodal_clean,object,Where is the food?,On a metal rack.,"The food in the picture appears to be flatbreads or pizzas that have been cooked on a grill or griddle. They are placed on a metal tray,",not_applicable,True,yes,n/a,medium,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2409661,multimodal_clean,relation,How many slices of bacon are on the plate?,Two.,There are two slices of bacon on the plate.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2400695,multimodal_clean,attribute,What is the train engines color?,Yellow and green.,The train engine in the picture is primarily yellow with green accents.,not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2404745,multimodal_clean,relation,Why is the cat wearing a bow tie?,To take a picture.,"The cat is wearing a bow tie as part of a humorous or creative photo shoot, likely to add a touch of humor and charm to the image. Bow ties",not_applicable,True,yes,n/a,medium,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2406717,multimodal_clean,attribute,How is the woman's jacket?,Wrinkled.,"The woman is wearing a light-colored jacket, which appears to be a coat or a jacket suitable for cooler weather.",not_applicable,True,no,n/a,high,只描述夹克颜色/类型，没有回答wrinkled。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2408970,multimodal_clean,object,How did it get troddened?,When it was wet.,"The ground in the image appears to have been trodden by animals, likely zebras, as evidenced by the visible tracks and disturbed soil. The presence of multiple",not_applicable,True,no,n/a,high,归因于动物踩踏，与参考when it was wet不一致。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2405342,multimodal_clean,object,How many trucks are on the road?,One.,There is one truck on the road in the picture.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2396109,multimodal_clean,object,Where is the moss?,Covering the log.,The moss is growing on the bark of the tree trunk in the image.,not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2396984,multimodal_clean,object,What shade of color is the letter O?,White.,"The letter ""O"" in the sign is white.",not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2403851,multimodal_clean,relation,What type of animals are in the picture?,A group of cows.,The animals in the picture are cows.,not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2406390,multimodal_clean,object,Where is the bear?,In the forest.,"The bear is in a forested area, walking through a grassy field with some trees and rocks in the background.",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2395947,multimodal_clean,object,Where is the picture taken?,Africa.,"The picture appears to be taken in a savanna or grassland area, likely in East Africa, given the presence of a giraffe and the mountain in the",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2401084,multimodal_clean,object,What season was this?,Winter.,"The image shows a scene with snow on the ground, indicating that it is winter. The presence of snow and the bare trees also suggest that it is late fall",not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2410068,multimodal_clean,object,What is in the left corner?,A power cord.,"I am not sure what is in the left corner. It can be seen a cable, a flower, or a bed.",not_applicable,True,uncertain,n/a,low,同时猜测cable/flower/bed；虽包含cable但不是单一明确答案。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2403489,multimodal_clean,object,What is the hole?,A broken window.,"I am not sure what the hole is. It can be seen as a window, a hole in the wall, or a hole in the ground.",not_applicable,True,uncertain,n/a,low,同时猜测window、wall hole和ground hole；只部分覆盖broken window。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2405568,multimodal_clean,object,What is in the vase?,Flowers.,"I am not sure what is in the vase. It can be seen flowers, plants, or a statue.",not_applicable,True,uncertain,n/a,low,同时猜测flowers/plants/statue，无法确定是否应接受。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2410888,multimodal_clean,relation,What is a person called who rides one of these animals professionally?,Jockey.,A person who rides horses professionally is called a horse rider or equestrian.,not_applicable,True,uncertain,n/a,low,回答horse rider/equestrian而非jockey；语义范围是否可接受需人工决定。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2410268,multimodal_clean,object,What color is the grass?,Green.,The grass in the picture is green.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2408152,multimodal_clean,object,What color are the flowers?,No flowers.,"There is no existence of flowers in the image description, so asking about their color would be misleading.",not_applicable,True,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
2407206,multimodal_clean,object,What color is the moped?,White.,The moped in the picture is white.,not_applicable,False,yes,n/a,high,生成回答与干净参考答案语义一致或给出了兼容的更具体描述。,OpenAI Codex visual review,exp001-ai-prereview-v1,,,,
